거래처(상호)	ASP ID	신청일자	비고
라발란치아(지원정보)	a3123264795	2014-07-04	
계동치킨(탄방동)	kd6661	2014-06-16	
브뤼셀(지원정보)	a6121243426	2014-06-11	
신광트랜드(과학관)_남촌가든사용	science1659	2014-05-27	
노가리를찾는사람들(지원정보)	shckrtk47131	2014-05-23	
종로전성샌(울산)[논산고구려사용]	jeon7950	2014-04-24	
오마이(천안두정)[만인산 사용]	oh28881	2014-02-24	
오마이밥버거(광명)-->바비또밥버거	oh83574	2013-10-28	
교원파닭(지족)	kyowon17881	2013-08-21	
쇼콜라뿌뻬(지원	a6121243426	2014-08-25	
한국문구(배재점)	mung6174	2014-11-25	
허니(코뚜레)사용중	a3210	2015-04-15	
학생백화점[새로남커피10층]	a1363	2015-05-20	
아저씨(목상동)	a3513	2015-07-13	
주식회사 올치에프씨(신통치킨본사)	allchifc	2015-07-29	
신토바기(신통치킨) [미사용중]	allchifc	2015-07-29	
신통치킨(의왕 오전점) [미사용중]	allchifc	2015-08-13	
신통치킨(아산신용화점)[미사용중]	allchifc	2015-08-13	
신통치킨(청주율량점) [미사용중]	allchifc	2015-08-13	
승리스포츠[아저씨전민점사용]	a2020	2015-08-26	
월드슈퍼(논산)	worldsuper	2015-10-06	
더블리스[오조커피사용]	a00208	2015-12-07	
카페재재	jaejaecafe	2015-12-15	
하늘바베큐[아저씨봉산동)[미사용중]	a00278	2016-01-25	
황가네콩나물국밥(김밥도둑)[팔팔생고기 진천사용]	hwang9888	2016-03-23	
이가닭숯불갈비[해지 1000 회원가능]설악추어탕카페봄	chi5178	2016-04-11	
무공이네(계룡)	mu2724	2016-04-18	
프로펫[미사용중]	pp1199	2016-04-20	
건하천문점(1000, 회원가능)[미사용중]	kh0734	2016-04-22	
노가리를찾는사람들쌍용점	shckrtk47131	2014-12-08	
트라이조치원점	pos55186	2016-05-10	
(주)한스푸드시스템, 포춘차이나_[미사용중][차이나홍사용]"	pos08905	2016-07-25	
개구쟁이[만두레식당사용][미사용중]	pos00388	2016-08-01	
들풀담소_현재사용안함[해지 1000회원가능][전미원사용]	pos00173	2016-08-16	
풍성한식당(태영축산)19_03_19폐업[체리마트]	pos94958	2016-12-16	
GIANT(자이언트)천안	giant	2017-03-02	
만물상회	mmmart	2017-03-07	
사이언스골프(수정수퍼에서 사용 중)[미사용중]	sciencegolf	2017-04-13	
월산본가	moon5	2017-04-21	
달콤한 삼겹살(신탄진점)	dalkom	2017-05-29	
팔공돈[해지 1000 회원가능]대박육회사용중	palgong	2017-06-09	
달콤한 삼겹살(조치원점)	dalkom	2017-06-20	
레스토랑돈티고[미사용중]비번초기화해야함.	gorilla	2017-06-23	
치킨과바람피자[카페조기나루 사용 중]	pos60462	2017-07-03	
달콤한 삼겹살(하복대점)	dalkom	2017-07-04	
파밍하우스(은구비 2호점사용)	pmhouse	2017-07-17	
아이스크림왕국[슬램커피사용]	iceiceice	2017-07-19	
향미락전통전골	pos57806	2017-07-20	
들풀강원도막국수(2층사용)_1001들풀담소	dp00452	2017-08-02	
가베카페(옥천점_비번초기화해야함)	gabe	2017-08-08	
모꼬지)[유림식당]거부소바사용중	mokkoji	2017-08-28	
새로남커피숍	pos47335	2017-08-29	
파밍하우스(달콤아이디로 사용)	dalkom	2017-08-31	
마더쉽협동조합[소래버섯나라[행복한곰탕]사용 중)	mothership	2017-08-31	
무량산초심[대부도해물손칼국수]	pos98131	2017-09-06	
달콤한삼겹살(공주점)	dalkom	2017-09-06	
